Name,Company
Greyhawk Services,
Cavender Homes,
Alpha Testing,
BeckGroup,
Andres Construction,
United Mechanical,
Panterra Construction,
ML Gray Partnership,
BeckGroup,
Habitat for Humanity,
,
Hill-Wilkinson,
Retired,
Dallas College,
