Financial Institution,Fees
Bank of America,$12 monthly fee
"
            ",no fee
"
            ",no fee
Chase Bank,$6 monthly fee
Citibank,no fee
Credit Union of Texas,no fee
Frost Bank,$5 monthly fee
Greater Texas Federal Credit Union,no fee
Navy Federal Credit Union,no fee
PNC Bank,$7 monthly fee
Schwab Bank,no fee
U.S. Bank,no fee ($2/month for paper statements)
Washington Federal ,no fee
" 
            ",$5 monthly fee
