Family Violence Shelters and 24-Hour Crisis Hotlines,Contact Number
The Family Place (,214-941-1991
"Genesis Women’s Shelter (Dallas - 
               ",214-942-2998 
"New Beginning Center (Garland - 
               ",972-276-0057
"Brighter Tomorrows (Irving - 
               ",972-262-8383
"Hope’s Door (Plano, Garland - ",972-821-5393
Salvation Army (,214-424-7208
"Mosaic (refugees/immigrants - 
               ",214-823-4434
Family Gateway,214-823-4487
Peaceful Oasis,972-880-4192
