Assignment ,Point Value ,Due Date 
Project 1,100 points,January 31
Test 1,100 points,February 21
Project 2,150 points,March 14
Test 2,100 points,April 4
Group Project (Draft),50 points,April 18
Group Project (Final),150 points,May 2
