"
                                                    Space Name
                                                ","
                                                    Square Feet
                                                ","
                                                    Amount
                                                "
"
                                                        Lab 1
                                                    ","
                                                        630
                                                    ","
                                                        $40,000
                                                    "
"
                                                        Lab 2
                                                    ","
                                                        1,200
                                                    ","
                                                        $60,000
                                                    "
"
                                                        Lab 3
                                                    ","
                                                        630
                                                    ","
                                                        $40,000
                                                    "
"
                                                        Lab 4
                                                    ","
                                                        610
                                                    ","
                                                        $40,000
                                                    "
"
                                                        Lab 5
                                                    ","
                                                        630
                                                    ","
                                                        $40,000
                                                    "
"
                                                        Lab 6
                                                    ","
                                                        610
                                                    ","
                                                        $40,000
                                                    "
"
                                                        Lab 7
                                                    ","
                                                        630
                                                    ","
                                                        $40,000
                                                    "
"
                                                        Lab 8
                                                    ","
                                                        610
                                                    ","
                                                        $40,000
                                                    "
"
                                                        Lab 9
                                                    ","
                                                        1,260
                                                    ","
                                                        $60,000
                                                    "
"
                                                        Lab 10
                                                    ","
                                                        610
                                                    ","
                                                        $40,000
                                                    "
"
                                                        VR Technology Training Room
                                                    ","
                                                        1,200
                                                    ","
                                                        $75,000
                                                    "
