"Sustainability and 
               ",Green Building Areas,"Summary of Estimated 
               ",Construction Costs 
"Resilience, Emergency Preparedness ","$23,774,936",,
Energy Efficiency ,"$15,125,811",,
"Weatherization, Energy Efficiency ","$13,592,448",,
Water Efficiency ,"$2,000,000",,
"Energy Efficiency, Water Efficiency ","$1,450,000",,
Education Success ,"$1,010,000",,
"Energy Efficiency, Water Efficiency, Resilience","$688,500",,
Fuel Efficiency ,"$405,000",,
Weatherization,"$217,317",,
" 
               ","
               ",,
