Acronyms,Definition
EOC,Emergency Operations or Operating Center
ESF,Emergency Support Function
IC,Incident Commander
ICP,Incident Command Post
ICS,Incident Command System
IP,Internet Protocol
MAA,Mutual Aid Agreement
MOU,Memorandum of Understanding
SOPs,Standard Operating Procedures
