Trustee District 5,Trustee District 6
*William  Wesley Jameson,"36,153 votes"
Dinesh Mali,"25,790 votes"
*Cliff Boyd,"26,217 votes"
Angela  Enciso,"21,226 votes"
Diana Flores,"55,158 votes"
