"
                                                    Space Name
                                                ","
                                                    Square Feet
                                                ","
                                                    Amount
                                                "
"
                                                        Executive Offices Suite
                                                    ","
                                                        2,000
                                                    ","
                                                        $100,000
                                                    "
"
                                                        Call Center
                                                    ","
                                                        1,150
                                                    ","
                                                        $60,000
                                                    "
"
                                                        Executive Meeting Room
                                                    ","
                                                        250
                                                    ","
                                                        $50,000
                                                    "
"
                                                        Co-Working Space
                                                    ","
                                                        880
                                                    ","
                                                        $50,000
                                                    "
"
                                                        Employer Partner Training Space
                                                    ","
                                                        880
                                                    ","
                                                        $50,000
                                                    "
