 Date, , Principal ,CUSIP 
02/15/22,"$7,665,000",234685LC7,
02/15/23,"7,965,000",234685LD5,
02/15/24,"6,515,000",234685LE3,
02/15/25,"8,765,000",234685LF0,
02/15/26,"10,040,000",234685LG8,
02/15/27,"10,530,000",234685LH6,
02/15/28,"11,100,000",234685LJ2,
Total,"$62,580,000", ,
