"
                                                    Space Name
                                                ","
                                                    Square Feet
                                                ","
                                                    Amount
                                                "
"
                                                        Front Reception Area
                                                    ","
                                                        850
                                                    ","
                                                        $150,000
                                                    "
"
                                                        Breakroom
                                                    ","
                                                        1,180
                                                    ","
                                                        $120,000
                                                    "
"
                                                        Kitchen
                                                    ","
                                                        500
                                                    ","
                                                        $75,000
                                                    "
"
                                                        Childcare Room
                                                    ","
                                                        850
                                                    ","
                                                        $75,000
                                                    "
"
                                                        Student Gathering Space (windows)
                                                    ","
                                                        950
                                                    ","
                                                        $60,000
                                                    "
"
                                                        Student Gathering Space (back)
                                                    ","
                                                        1,275
                                                    ","
                                                        $60,000
                                                    "
"
                                                        Locker Room
                                                    ","
                                                        550
                                                    ","
                                                        $50,000
                                                    "
