Symbol,Last Price,Change,% Change
GPSC-R.BK,48.50,+0.75,+1.57%
GPSC.BK,48.50,+0.75,+1.57%
^DJI,"37,689.54",-20.56,-0.05%
^GSPC,"4,769.83",-13.52,-0.28%
^IXIC,"15,011.35",-83.75,-0.55%
