Symbol,Last Price,Change,% Change
AMZN,151.94,-1.44,-0.94%
CRWD,255.32,-0.81,-0.32%
GOOG,140.93,-0.35,-0.25%
NVDA,495.22,0.00,0.00%
SHOP,77.90,-1.21,-1.53%
