Symbol,Last Price,Change,% Change
COMP,3.4900,+0.2700,+8.39%
GC=F,"2,064.50",+13.20,+0.64%
^DJI,"37,385.97",-18.38,-0.05%
^GSPC,"4,754.63",+7.88,+0.17%
