Symbol,Last Price,Change,% Change
COMP,2.9650,-0.0250,-0.84%
MRNA,86.50,+0.63,+0.73%
OXY-WS,,,
^DJI,"37,274.83",+26.48,+0.07%
^GSPC,"4,720.99",+1.44,+0.03%
